t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag
12.127660,171,^,0.810058,0.384977,0.988622,0.988687,0.035080,4.351267833399e-08,5.474362283181e-08,,
12.198582,172,^,0.829170,0.369584,0.989840,0.989891,0.031903,4.259512851915e-08,5.601218236926e-08,,
12.269504,173,^,0.847518,0.353243,0.991059,0.991099,0.028648,4.147752854634e-08,5.681144048024e-08,,
12.340426,174,^,0.865055,0.335990,0.992279,0.992309,0.025305,4.016474691095e-08,5.792168829029e-08,,
12.411348,175,^,0.881736,0.317867,0.993501,0.993522,0.021861,3.866826711302e-08,5.681144048024e-08,,
12.482270,176,^,0.897516,0.298915,0.994725,0.994739,0.018296,3.700625313114e-08,5.551187480493e-08,,
12.553191,177,^,0.912356,0.279180,0.995950,0.995958,0.014582,3.520336587758e-08,5.510651764679e-08,,
12.624113,178,^,0.926216,0.258709,0.997177,0.997181,0.010676,3.329033091579e-08,5.397335087702e-08,,
12.695035,179,^,0.939060,0.237549,0.998405,0.998406,0.006488,3.130326737813e-08,5.332184222900e-08,,
12.765957,180,^,0.950853,0.215752,0.999634,0.999634,0.001757,2.928279742782e-08,5.267033358097e-08,,
12.836879,181,^,0.961564,0.193369,1.000865,1.000866,-0.000433,2.727296439015e-08,5.137554379690e-08,,
12.907801,182,^,0.971164,0.170454,1.002098,1.002100,-0.001050,2.531999548547e-08,5.137623950807e-08,,
12.978723,183,^,0.979626,0.147063,1.003332,1.003338,-0.001667,2.347095161099e-08,5.125402458056e-08,,
13.049645,184,^,0.986927,0.123252,1.004568,1.004578,-0.002287,2.177231157271e-08,5.094249178779e-08,,
13.120567,185,^,0.993046,0.099078,1.005805,1.005822,-0.002907,2.026854135013e-08,5.125402458056e-08,,
13.191489,186,^,0.997965,0.074601,1.007044,1.007069,-0.003528,1.900070024244e-08,5.260233670235e-08,,
13.262411,187,^,1.000000,0.049796,1.004947,1.004959,-0.002477,1.819561111787e-08,5.303869999836e-08,,
13.333333,188,^,1.000000,0.024912,1.001240,1.001241,-0.000620,1.782385903208e-08,5.384941017032e-08,,
13.404255,189,^,1.000000,0.000089,1.000000,1.000000,-0.000000,1.762139086654e-08,5.377673002262e-08,,
13.475177,190,^,1.000000,0.024733,1.001223,1.001223,-0.000612,1.795468683410e-08,5.370404987492e-08,,
13.546099,191,^,0.998772,0.049556,1.002456,1.002459,-0.001229,1.824718930114e-08,5.322004128488e-08,,
13.617021,192,^,0.996312,0.074318,1.003690,1.003697,-0.001847,1.887114234311e-08,5.273603269484e-08,,
13.687943,193,^,0.992622,0.098957,1.004927,1.004939,-0.002466,1.981740243964e-08,5.403945475646e-08,,
13.758865,194,^,0.987710,0.123414,1.006164,1.006183,-0.003087,2.106900554611e-08,5.334305737444e-08,,
13.829787,195,^,0.981583,0.147626,1.007403,1.007431,-0.003709,2.260173023292e-08,5.268603802497e-08,,
13.900709,196,^,0.974254,0.171535,1.008644,1.008681,-0.004331,2.438490307589e-08,5.166926960361e-08,,
13.971631,197,^,0.965738,0.195079,1.009886,1.009935,-0.004955,2.638241703419e-08,5.021680696209e-08,,
14.042553,198,^,0.956053,0.218201,1.011130,1.011192,-0.005580,2.855392535765e-08,5.016699872692e-08,,
14.113475,199,^,0.945220,0.240842,1.012375,1.012452,-0.006207,3.085616676792e-08,5.016600228823e-08,,
14.184397,200,^,0.933264,0.262945,1.013622,1.013715,-0.006834,3.324437253486e-08,5.100118712257e-08,,
14.255319,201,^,0.920210,0.284455,1.014870,1.014981,-0.007463,3.567370283511e-08,4.987910010249e-08,,
14.326241,202,^,0.906088,0.305316,1.016120,1.016250,-0.008093,3.810065857411e-08,5.136093619447e-08,,
14.397163,203,^,0.890930,0.325476,1.017372,1.017523,-0.008723,4.048441573996e-08,5.185773814906e-08,,
14.468085,204,^,0.874772,0.344884,1.018625,1.018798,-0.009356,4.278803231711e-08,5.235454010365e-08,,
14.539007,205,^,0.857650,0.363490,1.019879,1.020077,-0.009989,4.497948272005e-08,5.288600004436e-08,,
14.609929,206,^,0.839604,0.381246,1.021135,1.021359,-0.010623,4.703248143184e-08,5.341745998507e-08,,
14.680851,207,^,0.820677,0.398105,1.022393,1.022644,-0.011259,4.892706579817e-08,5.377673002262e-08,,
14.751773,208,^,0.800913,0.414026,1.023652,1.023932,-0.011896,5.064991741918e-08,5.413600006017e-08,,
14.822695,209,^,0.780359,0.428965,1.024913,1.025223,-0.012534,5.219441193433e-08,5.486514204815e-08,,
14.893617,210,^,0.759062,0.442883,1.026175,1.026518,-0.013173,5.356039780487e-08,5.601218236926e-08,,
14.964539,211,^,0.737075,0.455744,1.027439,1.027815,-0.013813,5.475371554177e-08,5.681144048024e-08,,
15.035461,212,^,0.714450,0.467514,1.028704,1.029116,-0.014455,5.578547927246e-08,5.792168829029e-08,,
15.106383,213,^,0.691240,0.478160,1.029971,1.030420,-0.015097,5.667115217186e-08,5.815964216785e-08,,
15.177305,214,^,0.667501,0.487655,1.031240,1.031728,-0.015741,5.742945571060e-08,5.839759604540e-08,,
15.248227,215,^,0.643292,0.495970,1.032510,1.033038,-0.016386,5.808115955276e-08,5.902356306443e-08,,
15.319149,216,^,0.618669,0.503084,1.033781,1.034352,-0.017032,5.864780397952e-08,5.964953008347e-08,,
15.390071,217,^,0.593693,0.508975,1.035054,1.035669,-0.017680,5.915040970650e-08,6.014021839317e-08,,
15.460993,218,^,0.568425,0.513627,1.036329,1.036989,-0.018329,5.960823076549e-08,5.998999297688e-08,,
15.531915,219,^,0.542926,0.517024,1.037606,1.038313,-0.018978,6.003760468272e-08,6.031358792896e-08,,
15.602837,220,^,0.517258,0.519155,1.038883,1.039639,-0.019629,6.045095054348e-08,6.126230039122e-08,,
15.673759,221,^,0.491484,0.520012,1.040163,1.040969,-0.020282,6.085595981104e-08,6.149591125624e-08,,
15.744681,222,^,0.465668,0.519589,1.041444,1.042303,-0.020935,6.125501717513e-08,6.260544900976e-08,,
15.815603,223,^,0.439873,0.517885,1.042727,1.043639,-0.021590,6.164487952623e-08,6.271156126985e-08,,
15.886525,224,^,0.414162,0.514899,1.044011,1.044979,-0.022246,6.201663073796e-08,6.285767602567e-08,,
15.957447,225,^,0.388600,0.510638,1.045296,1.046322,-0.022903,6.235591869339e-08,6.322722401744e-08,,
16.028369,226,^,0.363249,0.505108,1.046584,1.047669,-0.023561,6.264346935351e-08,6.331018211936e-08,,
16.099291,227,^,0.338173,0.498318,1.047873,1.049019,-0.024221,6.285586109730e-08,6.383409664675e-08,,
16.170213,228,^,0.313433,0.490284,1.049163,1.050372,-0.024881,6.296653152633e-08,6.436093501513e-08,,
16.241135,229,^,0.289093,0.481022,1.050455,1.051728,-0.025543,6.294697886859e-08,6.490521465312e-08,,
16.312057,230,^,0.265213,0.470552,1.051749,1.053088,-0.026206,6.276811144924e-08,6.554027968696e-08,,
16.382979,231,^,0.241852,0.458896,1.053044,1.054451,-0.026871,6.240169178182e-08,6.587448667592e-08,,
16.453901,232,^,0.219070,0.446080,1.054341,1.055818,-0.027537,6.182181696869e-08,6.599569525418e-08,,
16.524823,233,^,0.196924,0.432133,1.055640,1.057188,-0.028203,6.100637450245e-08,6.664572626654e-08,,
16.595745,234,^,0.175471,0.417087,1.056940,1.058561,-0.028871,5.993841236156e-08,6.652484483021e-08,,
16.666667,235,^,0.154764,0.400975,1.058242,1.059938,-0.029541,5.860736453137e-08,6.666960186941e-08,,
16.737589,236,^,0.134858,0.383836,1.059545,1.061318,-0.030211,5.701007769727e-08,6.681435890860e-08,,
16.808511,237,^,0.115802,0.365708,1.060850,1.062701,-0.030883,5.515159169695e-08,6.694141774156e-08,,
16.879433,238,^,0.097646,0.346634,1.062156,1.064088,-0.031556,5.304563514117e-08,6.706847657453e-08,,
16.950355,239,^,0.080437,0.326659,1.063465,1.065478,-0.032230,5.071480809282e-08,6.786339795952e-08,,
17.021277,240,^,0.064220,0.305830,1.064774,1.066872,-0.032906,4.819043544029e-08,6.865831934451e-08,,
17.092199,241,^,0.049037,0.284196,1.066086,1.068269,-0.033583,4.551208716569e-08,6.835510029045e-08,,
17.163121,242,^,0.034928,0.261807,1.067399,1.069670,-0.034261,4.272677460736e-08,6.765216510841e-08,,
17.234043,243,^,0.021931,0.238719,1.068713,1.071074,-0.034940,3.988784454623e-08,6.749359481359e-08,,
17.304965,244,^,0.010079,0.214985,1.070029,1.072481,-0.035621,3.705360500552e-08,6.731571177453e-08,,
17.375887,245,^,0.000000,0.190549,1.070157,1.072618,-0.035687,3.431286234312e-08,6.689875529876e-08,,
17.446809,246,^,0.000000,0.164174,1.052526,1.053906,-0.026605,3.269702899298e-08,6.608208269500e-08,,
17.517730,247,^,0.000000,0.138224,1.037509,1.038212,-0.018929,3.124211872777e-08,6.570891939580e-08,,
17.588652,248,^,0.000000,0.112629,1.025057,1.025370,-0.012606,2.997060191095e-08,6.511696270559e-08,,
17.659574,249,^,0.000000,0.087318,1.015134,1.015249,-0.007596,2.889840295974e-08,6.460954486133e-08,,
17.730496,250,^,0.000000,0.062225,1.007714,1.007744,-0.003865,2.803572052682e-08,6.376567368319e-08,,
17.801418,251,^,0.000000,0.037288,1.002777,1.002781,-0.001389,2.769961058454e-08,6.402330912394e-08,,
17.872340,252,^,0.000000,0.012442,1.000310,1.000310,-0.000155,2.769733715929e-08,6.434261311271e-08,,
17.943262,253,^,0.000000,0.012373,1.000306,1.000306,-0.000153,2.699193377235e-08,6.462571331388e-08,,
18.014184,254,^,0.000614,0.037196,1.001538,1.001539,-0.000769,2.710807103819e-08,6.490881351504e-08,,
18.085106,255,^,0.002461,0.061988,1.002772,1.002775,-0.001387,2.762508187427e-08,6.457837491915e-08,,
18.156028,256,^,0.005538,0.086689,1.004007,1.004015,-0.002005,2.854456412335e-08,6.422467074533e-08,,
18.226950,257,^,0.009842,0.111236,1.005243,1.005257,-0.002625,2.984605894657e-08,6.380187319299e-08,,
18.297872,258,^,0.015364,0.135570,1.006481,1.006502,-0.003246,3.150026534067e-08,6.337907564065e-08,,
18.368794,259,^,0.022095,0.159630,1.007721,1.007750,-0.003868,3.346991247234e-08,6.283786330573e-08,,
